,POSITION,LOC_X,LOC_Y,PLAYER_NAME,QUARTER,EVENT_TYPE
6970,SG,64.0,264.0,Jimmy Butler,1,MISSED
6971,PF,112.0,301.0,Nikola Mirotic,1,MISSED
6973,PF,50.0,18.0,Nikola Mirotic,1,MISSED
6976,SG,50.0,264.0,Jimmy Butler,1,SCORED
6979,C,151.0,349.0,Robin Lopez,1,MISSED
6980,SG,167.0,323.0,Dwyane Wade,2,MISSED
6986,SG,45.0,76.0,Dwyane Wade,2,SCORED
6987,SG,54.0,233.0,Dwyane Wade,2,SCORED
6993,SG,58.0,270.0,Jimmy Butler,2,BLOCKED
6994,PF,62.0,265.0,Nikola Mirotic,2,SCORED
6995,PF,293.0,133.0,Nikola Mirotic,2,SCORED
6996,PF,35.0,478.0,Nikola Mirotic,2,SCORED
6998,C,67.0,249.0,Robin Lopez,2,MISSED
6999,C,229.0,269.0,Robin Lopez,2,SCORED
7000,C,215.0,250.0,Robin Lopez,2,SCORED
7001,SG,215.0,159.0,Jimmy Butler,2,MISSED
7002,SG,802.0,118.0,Dwyane Wade,3,MISSED
7003,PF,696.0,81.0,Nikola Mirotic,3,MISSED
7004,PF,889.0,482.0,Nikola Mirotic,3,SCORED
7006,SG,715.0,395.0,Dwyane Wade,3,MISSED
7007,C,832.0,212.0,Robin Lopez,3,MISSED
7008,SG,881.0,228.0,Jimmy Butler,3,MISSED
7009,PF,824.0,259.0,Nikola Mirotic,3,BLOCKED
7011,C,890.0,302.0,Robin Lopez,3,SCORED
7012,C,888.0,250.0,Robin Lopez,3,SCORED
7013,C,738.0,347.0,Robin Lopez,3,MISSED
7015,SG,888.0,250.0,Jimmy Butler,3,SCORED
7017,SG,882.0,246.0,Jimmy Butler,3,SCORED
7018,SG,888.0,250.0,Jimmy Butler,3,SCORED
7021,C,843.0,236.0,Robin Lopez,3,SCORED
7024,C,873.0,228.0,Robin Lopez,3,SCORED
7025,SG,620.0,354.0,Jimmy Butler,3,MISSED
7029,SG,745.0,334.0,Dwyane Wade,4,SCORED
7031,SG,711.0,161.0,Dwyane Wade,4,MISSED
7032,SG,670.0,194.0,Dwyane Wade,4,MISSED
7044,PF,239.0,92.0,Nikola Mirotic,1,MISSED
7045,PF,62.0,22.0,Nikola Mirotic,1,MISSED
7046,SG,187.0,153.0,Jimmy Butler,1,MISSED
7047,SG,166.0,311.0,Dwyane Wade,1,SCORED
7048,SG,50.0,270.0,Jimmy Butler,1,MISSED
7049,SG,52.0,250.0,Jimmy Butler,1,SCORED
7050,PG,180.0,339.0,Rajon Rondo,1,MISSED
7051,PG,254.0,85.0,Rajon Rondo,1,SCORED
7053,SG,54.0,262.0,Dwyane Wade,1,MISSED
7054,C,58.0,301.0,Robin Lopez,1,SCORED
7055,SG,50.0,274.0,Jimmy Butler,1,MISSED
7056,SG,190.0,332.0,Jimmy Butler,1,MISSED
